Gender,Previously_Insured,Vehicle_Age,Vehicle_Damage,Policy_Sales_Channel,Vintage,Age_Group,Annual_Premium_Treated,Region_Category,Response
1,1,0,0,124.0,181,0,32597.0,2,0
0,0,1,1,151.0,137,2,25592.0,1,0
0,1,1,0,152.0,40,2,26317.0,2,0
1,0,0,1,26.0,130,0,61800.375,0,1
1,0,0,1,157.0,170,0,50301.0,0,1
1,0,1,1,152.0,58,2,33237.0,0,1
1,0,0,1,124.0,119,0,61800.375,0,1
1,0,0,1,124.0,127,0,36167.0,0,1
0,1,0,0,26.0,105,0,31686.0,0,0
0,1,1,0,152.0,252,2,30020.0,0,0
0,1,1,0,152.0,97,2,29814.0,0,0
1,1,1,0,152.0,98,2,25403.0,2,0
0,1,1,0,152.0,250,2,32430.0,0,0
0,1,1,0,152.0,58,2,25066.0,0,0
1,0,0,1,156.0,265,0,2630.0,0,1
1,0,0,1,152.0,34,0,27418.0,2,0
1,0,0,1,122.0,255,0,37250.0,0,1
0,0,0,1,26.0,81,0,26089.0,2,0
1,0,0,1,26.0,257,0,30309.0,2,1
0,0,0,1,124.0,51,0,61800.375,0,1
0,0,0,1,124.0,168,0,48327.0,0,1
1,1,1,0,152.0,98,2,26514.0,0,0
0,0,1,1,152.0,222,2,32566.0,0,1
1,0,0,1,124.0,132,0,38926.0,0,1
1,0,0,1,124.0,131,1,41963.0,0,1
1,1,1,0,152.0,130,2,26147.0,2,0
1,0,2,1,26.0,223,0,43774.0,0,1
1,0,0,1,26.0,163,0,36038.0,0,1
1,1,1,0,152.0,299,2,27315.0,0,0
0,1,1,0,152.0,170,2,29227.0,0,0
0,1,1,0,153.0,213,2,25672.0,0,0
1,0,2,1,26.0,151,0,28784.0,0,0
1,0,0,1,10.0,70,0,30173.0,0,0
1,0,0,1,124.0,268,0,29812.0,0,1
0,0,2,1,155.0,76,0,36734.0,0,1
0,0,1,1,26.0,20,2,2630.0,0,1
1,0,0,1,124.0,244,1,26730.0,2,0
1,0,2,1,26.0,258,0,28686.0,0,1
0,1,1,1,152.0,139,2,30041.0,0,0
1,1,1,0,152.0,144,2,31010.0,2,0
1,0,1,1,160.0,159,2,31506.0,0,1
0,1,1,0,152.0,164,2,30158.0,0,0
1,0,0,1,124.0,153,0,34245.0,0,1
1,0,2,1,124.0,34,0,43300.0,0,1
0,1,1,0,152.0,28,2,27747.0,2,0
0,0,1,1,152.0,211,2,37226.0,0,1
1,0,2,1,26.0,299,1,51745.0,0,1
1,0,0,1,26.0,155,0,48286.0,0,1
0,1,1,0,152.0,115,2,25363.0,2,0
1,0,1,1,152.0,21,2,31349.0,0,0
0,0,0,1,26.0,42,0,36017.0,0,1
0,0,0,1,26.0,88,0,48723.0,0,1
1,0,0,1,124.0,158,0,2630.0,0,1
0,0,0,1,155.0,28,0,35867.0,0,1
1,0,0,1,26.0,62,0,29404.0,0,0
0,0,0,1,124.0,166,2,26170.0,2,1
0,0,1,0,152.0,93,2,32884.0,2,0
1,0,0,1,157.0,14,0,29562.0,2,0
1,0,0,1,156.0,84,0,35999.0,0,1
0,0,0,1,124.0,131,0,39658.0,0,1
1,0,1,1,152.0,52,2,28922.0,0,0
1,1,1,0,152.0,231,2,32675.0,0,0
1,0,0,1,124.0,88,0,49021.0,0,1
0,1,1,0,152.0,252,2,28978.0,2,0
1,1,0,0,26.0,274,0,27824.0,0,0
1,0,0,1,156.0,81,0,19468.0,2,1
0,1,1,0,152.0,57,2,31860.0,0,0
1,0,2,1,124.0,227,1,30070.0,0,1
0,1,1,0,152.0,46,2,30819.0,0,0
1,0,0,1,124.0,164,0,52594.0,0,1
0,0,0,1,156.0,289,0,31862.0,0,1
1,1,1,0,152.0,140,2,30893.0,2,0
1,0,0,1,26.0,43,0,31066.0,2,1
1,0,0,1,156.0,294,2,2630.0,0,1
1,0,2,1,122.0,173,0,44740.0,0,1
0,0,0,1,124.0,56,0,38916.0,2,1
0,0,0,0,12.0,215,0,26734.0,0,0
0,0,0,1,30.0,188,0,27546.0,0,0
0,1,1,1,152.0,48,2,29216.0,1,0
1,0,0,1,124.0,26,0,36337.0,2,1
1,0,2,1,56.0,37,0,47080.0,0,1
1,1,1,0,152.0,175,2,32109.0,2,0
0,0,0,1,152.0,123,0,26324.0,0,1
1,1,1,0,152.0,96,2,27457.0,2,0
0,0,0,1,124.0,78,0,22106.0,0,1
1,0,0,1,124.0,132,0,20938.0,0,1
0,0,1,1,152.0,294,2,31430.0,2,0
1,1,1,0,152.0,137,2,25556.0,0,0
0,0,0,1,152.0,83,0,30372.0,0,0
0,1,1,0,152.0,10,0,27346.0,0,0
1,0,0,1,156.0,149,0,2630.0,0,1
0,1,0,0,124.0,47,1,29816.0,2,0
1,0,0,1,26.0,252,0,2630.0,0,1
0,0,1,1,160.0,178,2,32383.0,2,0
1,0,1,1,124.0,91,2,2630.0,0,1
0,1,1,0,152.0,90,2,25404.0,2,0
1,0,0,1,156.0,35,2,27883.0,0,0
0,1,1,0,152.0,295,2,30368.0,2,0
1,0,0,1,26.0,214,0,38372.0,0,1
0,0,0,1,124.0,105,1,27925.0,0,0
0,1,1,0,152.0,176,2,31133.0,0,0
1,0,0,1,26.0,287,0,2630.0,0,1
1,0,0,1,26.0,94,0,51943.0,0,1
1,1,1,0,152.0,218,2,27210.0,0,0
0,0,0,1,124.0,18,0,43490.0,0,1
1,1,1,1,152.0,240,2,28311.0,0,0
1,1,0,1,26.0,69,1,30983.0,0,0
1,0,0,1,26.0,126,0,39658.0,2,1
1,0,0,1,26.0,95,0,32588.0,0,1
1,1,1,0,152.0,202,2,30352.0,2,0
1,0,0,1,124.0,266,2,37122.0,0,1
1,0,0,1,124.0,51,0,39713.0,0,1
0,1,1,1,152.0,265,2,31001.0,2,0
1,0,2,1,26.0,219,0,50905.0,0,1
1,0,0,1,11.0,117,0,26227.0,0,0
1,0,1,1,26.0,205,2,26000.0,2,0
0,0,1,1,160.0,219,2,31271.0,0,0
1,1,1,0,152.0,185,2,31029.0,0,0
1,1,1,0,152.0,99,2,30521.0,0,0
1,0,0,1,26.0,162,0,40867.0,0,1
0,0,0,1,154.0,246,0,34461.0,0,1
1,0,0,1,26.0,48,0,43486.0,0,1
0,1,1,0,160.0,206,2,32480.0,0,0
1,0,0,1,124.0,192,0,29191.0,0,1
1,1,1,1,152.0,101,0,29679.0,2,0
1,0,0,1,124.0,253,0,34737.0,2,1
0,0,0,1,26.0,260,0,29307.0,0,1
1,0,1,1,26.0,31,2,27514.0,1,0
0,0,0,1,26.0,86,0,29951.0,0,0
0,0,0,1,122.0,73,1,61800.375,0,1
0,1,0,0,124.0,121,0,31601.0,0,0
1,0,0,1,163.0,211,0,37468.0,0,1
1,1,1,0,152.0,46,2,26644.0,2,0
1,0,0,1,26.0,204,0,44696.0,0,1
0,0,0,1,156.0,43,0,2630.0,0,1
1,1,1,0,152.0,52,2,26741.0,2,0
1,0,2,1,26.0,41,0,27986.0,0,1
0,0,2,1,124.0,144,0,52267.0,0,1
0,1,1,0,152.0,34,2,29394.0,0,0
0,1,0,0,152.0,278,0,30566.0,0,0
0,1,0,1,152.0,197,0,29157.0,0,0
0,0,1,0,152.0,187,2,29689.0,2,0
1,0,0,1,124.0,241,0,27553.0,2,1
0,1,0,0,124.0,54,0,27497.0,2,0
0,1,0,0,8.0,201,2,30301.0,0,0
1,0,0,1,26.0,265,1,26984.0,0,0
1,0,0,1,163.0,236,0,28345.0,0,1
0,0,1,0,152.0,147,2,27552.0,0,0
1,0,2,1,122.0,47,0,54406.0,0,1
0,0,1,1,124.0,103,0,61800.375,0,1
0,0,0,1,124.0,118,0,29348.0,0,1
1,1,1,0,152.0,22,2,32467.0,0,0
0,1,1,0,152.0,76,2,32344.0,2,0
1,0,0,1,124.0,97,2,24328.0,0,1
0,0,0,1,155.0,42,1,25582.0,0,1
0,1,1,0,152.0,17,2,30241.0,0,0
0,0,0,1,156.0,232,0,2630.0,0,1
0,0,1,1,26.0,116,2,2630.0,0,1
0,0,0,1,26.0,237,1,28589.0,0,0
1,1,1,0,152.0,79,2,32212.0,0,0
1,0,0,1,26.0,254,0,52311.0,0,1
1,0,0,1,154.0,199,0,18726.0,0,1
1,0,0,1,10.0,272,0,32661.0,0,0
0,1,1,0,152.0,54,2,32709.0,0,0
1,0,0,1,26.0,256,0,21923.0,2,1
1,0,0,1,30.0,65,0,31710.0,0,0
1,0,0,1,124.0,285,0,29525.0,0,1
1,0,2,1,124.0,22,0,36292.0,2,1
0,1,1,0,152.0,86,2,30390.0,0,0
0,0,0,1,124.0,177,0,22641.0,0,1
1,1,1,0,152.0,202,2,30227.0,0,0
0,0,1,1,152.0,216,2,29678.0,0,0
0,0,0,1,26.0,130,0,61800.375,0,1
1,0,1,1,26.0,227,2,29820.0,0,1
0,0,0,1,124.0,154,0,34035.0,0,1
0,1,1,0,152.0,219,2,25730.0,0,0
1,0,0,1,26.0,292,2,52173.0,0,1
0,1,1,0,152.0,120,2,27665.0,0,0
0,0,1,1,160.0,159,2,30799.0,0,0
1,0,0,1,124.0,105,0,35889.0,0,1
0,0,0,1,26.0,154,0,36162.0,0,1
1,0,0,1,156.0,245,0,2630.0,0,1
0,0,0,1,26.0,83,0,29172.0,0,1
1,0,0,1,26.0,267,0,45327.0,0,1
1,0,0,1,124.0,249,2,35168.0,0,1
1,1,0,0,26.0,243,0,27746.0,0,0
1,1,0,0,26.0,39,0,31149.0,0,0
0,1,1,0,152.0,57,2,26514.0,2,0
1,0,0,0,8.0,179,1,29714.0,0,0
1,1,1,0,152.0,68,2,27373.0,2,0
0,1,1,0,160.0,238,2,31817.0,2,0
0,0,1,1,124.0,267,0,34197.0,0,1
1,1,1,0,152.0,31,2,26611.0,0,0
1,1,1,0,152.0,180,2,28066.0,2,0
0,0,0,1,26.0,235,0,33825.0,0,1
1,0,0,1,124.0,46,0,28501.0,2,1
0,0,1,1,152.0,217,2,28412.0,2,0
1,1,0,1,25.0,51,0,32401.0,0,0
0,0,0,1,26.0,52,0,2630.0,0,1
0,1,0,0,152.0,17,1,31082.0,0,0
0,0,1,1,160.0,289,2,29642.0,2,0
1,0,0,1,124.0,281,0,49487.0,0,1
0,0,1,1,151.0,136,2,32711.0,0,1
1,0,0,1,124.0,267,0,18756.0,0,1
0,1,1,0,160.0,87,2,26547.0,0,0
0,1,1,0,152.0,78,2,30674.0,0,0
1,0,1,1,124.0,244,0,34164.0,0,1
1,1,0,0,124.0,294,0,26224.0,0,0
1,0,0,1,26.0,65,0,2630.0,0,1
1,0,0,1,124.0,133,0,2630.0,0,1
1,0,0,1,124.0,193,0,26082.0,0,1
0,0,0,1,26.0,181,0,38589.0,0,1
0,1,1,0,152.0,179,2,28877.0,2,0
1,0,2,1,26.0,151,0,2630.0,2,1
0,0,0,1,124.0,158,0,41935.0,0,1
0,1,1,0,152.0,15,2,31608.0,0,0
1,1,1,0,160.0,291,2,29864.0,0,0
0,0,0,1,26.0,208,0,50831.0,0,1
0,1,0,0,152.0,151,0,25159.0,2,0
1,0,0,1,124.0,204,0,34583.0,0,1
1,0,0,1,154.0,191,0,23750.0,0,1
0,0,0,1,124.0,54,0,2630.0,0,1
0,0,1,1,26.0,258,2,21480.0,2,1
0,0,0,1,26.0,142,0,52658.0,2,1
1,1,1,0,160.0,241,2,30753.0,0,0
1,1,1,0,152.0,82,2,29942.0,0,0
1,0,0,1,122.0,288,0,61800.375,0,1
1,0,0,1,26.0,223,0,38837.0,0,1
1,0,0,1,26.0,85,0,2630.0,0,1
0,1,1,0,152.0,93,2,25899.0,0,0
1,0,0,1,124.0,28,0,39744.0,2,1
0,1,0,0,152.0,15,0,32586.0,2,0
1,1,1,0,152.0,40,2,30736.0,2,0
0,1,1,0,152.0,279,2,31815.0,0,0
1,0,0,1,157.0,56,0,28087.0,0,0
0,0,0,1,26.0,23,0,28743.0,0,1
1,0,0,1,155.0,128,0,47790.0,0,1
1,0,0,0,26.0,164,0,45250.0,0,1
0,1,1,0,152.0,260,2,29331.0,0,0
1,0,0,1,124.0,23,0,24880.0,0,1
1,0,2,1,124.0,73,0,34372.0,2,1
1,0,2,1,124.0,73,0,43512.0,0,1
0,0,2,1,26.0,124,0,26036.0,2,1
0,0,1,1,152.0,157,2,25956.0,1,0
1,0,0,1,26.0,138,0,44512.0,0,1
0,0,0,1,26.0,175,0,35864.0,0,1
0,1,1,0,152.0,266,2,27805.0,2,0
1,0,1,1,152.0,164,2,30127.0,2,0
1,0,0,1,31.0,21,0,31015.0,2,0
0,1,1,0,152.0,11,2,28645.0,2,0
0,1,0,0,152.0,83,0,32179.0,0,0
0,0,0,1,157.0,247,0,22493.0,0,1
1,0,1,0,160.0,198,2,26914.0,0,0
0,1,0,0,152.0,64,0,30904.0,0,0
1,0,0,1,26.0,273,0,27664.0,1,1
1,0,1,1,160.0,103,2,25247.0,0,0
0,1,0,1,26.0,171,0,31102.0,2,0
1,0,0,1,124.0,210,0,39592.0,0,1
0,1,0,0,26.0,289,0,30432.0,0,0
1,0,2,1,122.0,231,0,25616.0,0,1
1,0,0,1,124.0,296,0,36072.0,0,1
1,1,1,0,160.0,168,2,32027.0,0,0
1,1,1,0,152.0,127,0,29638.0,0,0
0,0,1,0,152.0,115,2,25824.0,2,0
0,1,1,0,152.0,117,2,30316.0,2,0
1,0,0,1,103.0,223,0,2630.0,2,1
1,0,0,1,26.0,250,0,34094.0,0,1
1,1,1,0,152.0,109,2,26415.0,2,0
0,1,1,1,152.0,165,2,25397.0,0,0
0,0,1,1,26.0,200,2,27163.0,2,0
0,1,1,0,152.0,292,2,32344.0,0,0
1,0,0,1,124.0,219,0,37758.0,0,1
1,1,1,0,152.0,291,2,25215.0,0,0
0,1,1,0,152.0,103,2,25636.0,0,0
1,0,0,1,26.0,251,0,24489.0,2,1
1,0,0,1,124.0,68,0,26712.0,0,0
0,0,0,1,26.0,27,0,2630.0,1,1
1,0,0,1,157.0,77,0,2630.0,1,1
1,0,2,1,109.0,251,0,26494.0,0,1
0,1,0,0,152.0,238,0,31012.0,0,0
0,0,0,1,124.0,168,0,38128.0,2,1
1,1,1,0,152.0,198,2,30519.0,0,0
1,1,0,0,124.0,101,1,32022.0,0,0
1,1,1,0,152.0,263,2,28571.0,2,0
1,1,0,0,138.0,82,1,28408.0,0,0
0,0,0,1,124.0,75,0,23189.0,0,1
0,1,1,0,152.0,54,2,32554.0,2,0
1,0,1,1,152.0,98,2,26733.0,2,1
1,0,0,1,124.0,81,0,2630.0,2,1
0,1,1,0,152.0,123,2,26789.0,0,0
0,0,0,1,124.0,227,0,33419.0,0,1
1,0,0,1,163.0,282,2,2630.0,2,1
1,0,0,1,124.0,296,0,26369.0,0,1
1,0,0,1,156.0,51,0,38294.0,0,1
0,0,1,1,160.0,77,2,29402.0,0,0
1,1,1,0,152.0,137,2,28643.0,2,0
1,0,2,1,55.0,133,0,35043.0,0,1
0,0,1,1,124.0,295,2,60834.0,2,1
1,0,0,1,124.0,153,0,25602.0,0,0
1,0,0,1,26.0,250,0,2630.0,0,1
0,1,1,0,152.0,189,2,32000.0,2,0
1,0,0,1,154.0,140,2,35801.0,0,1
1,0,1,1,122.0,59,0,48010.0,0,1
0,1,1,0,152.0,220,2,26899.0,0,0
0,1,0,0,152.0,48,0,30062.0,1,0
1,0,0,1,124.0,262,0,34156.0,0,1
0,1,1,0,152.0,249,2,26191.0,0,0
1,0,0,1,26.0,248,0,22864.0,2,1
1,0,0,1,122.0,96,0,37923.0,0,1
1,1,0,0,26.0,22,1,32203.0,0,0
0,1,1,0,160.0,223,2,27568.0,0,0
0,0,1,1,26.0,265,2,23125.0,0,1
0,0,1,1,152.0,181,0,26057.0,0,1
1,0,1,1,152.0,195,2,26687.0,0,0
1,1,1,0,152.0,37,2,28582.0,0,0
1,1,0,0,26.0,251,0,28681.0,2,0
1,0,0,1,124.0,249,0,2630.0,1,1
0,0,1,1,152.0,159,2,43044.0,0,1
0,0,0,1,157.0,243,0,19890.0,0,1
0,1,1,0,152.0,185,2,30096.0,2,0
1,0,1,1,160.0,135,2,30414.0,0,0
0,0,1,1,160.0,166,2,27960.0,2,0
1,0,0,1,26.0,83,0,61800.375,0,1
0,1,1,0,152.0,237,2,27345.0,2,0
0,1,1,0,152.0,264,0,26252.0,1,0
0,1,1,0,152.0,268,2,26531.0,2,0
1,0,0,1,124.0,294,2,53588.0,0,1
1,0,1,1,152.0,278,2,2630.0,2,1
0,1,1,0,152.0,164,2,25432.0,2,0
1,0,0,1,124.0,254,2,29993.0,0,1
0,0,0,1,124.0,125,0,30448.0,0,1
1,0,1,1,124.0,43,0,32822.0,2,1
0,1,1,0,152.0,59,2,29491.0,0,0
0,0,0,1,124.0,221,0,26952.0,0,1
1,1,1,0,152.0,106,0,28696.0,0,0
0,1,1,0,152.0,119,2,30208.0,1,0
0,1,1,0,152.0,225,2,30962.0,2,0
1,1,0,0,16.0,200,0,31354.0,2,0
1,0,0,1,124.0,57,0,29832.0,2,1
1,1,0,0,126.0,157,0,32206.0,0,0
1,1,0,0,152.0,207,0,30541.0,0,0
0,0,0,1,124.0,39,0,32053.0,0,0
0,0,0,1,124.0,122,0,56048.0,0,1
0,0,0,1,26.0,143,0,61800.375,0,1
0,0,1,1,124.0,112,0,32174.0,0,1
1,0,1,1,152.0,71,2,32103.0,2,1
0,1,1,0,152.0,74,2,26407.0,2,0
1,1,1,0,152.0,55,2,27571.0,0,0
0,0,0,1,124.0,204,0,46957.0,2,1
1,0,0,1,26.0,108,0,30934.0,0,1
0,0,0,1,26.0,90,0,22541.0,2,1
1,0,1,1,26.0,98,0,2630.0,0,1
1,0,2,1,23.0,198,0,34705.0,0,1
0,0,0,1,26.0,10,0,24272.0,0,1
0,0,2,1,124.0,222,0,44266.0,0,1
0,0,0,1,26.0,171,0,2630.0,0,1
0,0,0,1,122.0,19,0,44223.0,0,1
0,0,0,1,124.0,223,0,26359.0,0,0
0,1,1,0,152.0,104,2,30790.0,0,0
0,0,0,1,26.0,207,0,61800.375,0,1
1,0,0,1,154.0,167,0,2630.0,1,1
1,1,1,0,152.0,199,2,29320.0,0,0
1,0,0,1,26.0,234,0,2630.0,0,1
1,1,0,0,152.0,43,0,26092.0,0,0
1,1,0,0,152.0,276,0,27187.0,2,0
0,1,1,0,152.0,161,2,29565.0,2,0
0,1,1,0,152.0,90,2,32335.0,2,0
1,0,0,0,124.0,160,0,2630.0,0,1
1,1,1,0,152.0,149,2,29941.0,0,0
1,0,0,1,26.0,55,0,30421.0,0,0
0,0,0,1,124.0,275,0,32245.0,2,0
1,0,0,1,26.0,34,0,41605.0,0,1
1,0,2,1,26.0,240,0,31227.0,0,1
0,1,1,0,160.0,165,0,29778.0,0,0
0,0,0,1,154.0,131,2,2630.0,0,1
0,0,0,1,26.0,20,0,30812.0,0,0
0,1,1,0,152.0,113,2,26489.0,2,0
1,1,0,0,124.0,292,1,26221.0,0,0
1,1,1,0,152.0,176,2,29910.0,0,0
1,0,0,1,26.0,172,0,32084.0,0,1
1,0,1,1,152.0,284,2,32065.0,2,0
1,0,0,1,124.0,185,0,2630.0,2,1
0,1,0,0,26.0,36,0,30797.0,0,0
0,0,0,1,30.0,178,0,27529.0,0,1
0,0,0,1,154.0,164,0,2630.0,2,1
0,1,1,0,160.0,138,2,26400.0,2,0
0,1,1,0,152.0,198,2,30881.0,0,0
1,0,0,1,124.0,224,0,29742.0,2,1
1,0,0,1,154.0,34,0,30283.0,0,1
1,0,0,1,26.0,36,0,61800.375,0,1
0,1,1,0,152.0,266,2,26110.0,0,0
0,0,0,1,156.0,189,0,2630.0,2,1
1,1,1,0,160.0,146,2,31772.0,0,0
0,0,0,1,156.0,72,0,2630.0,0,1
0,0,1,1,152.0,33,2,29909.0,0,1
1,0,2,1,124.0,204,0,29484.0,2,1
1,0,0,1,124.0,190,0,35155.0,0,1
0,0,0,1,26.0,171,0,38390.0,0,1
1,0,1,1,156.0,105,0,27211.0,0,1
1,0,0,1,26.0,202,1,2630.0,2,1
1,0,2,1,26.0,299,0,50515.0,0,1
0,1,1,0,152.0,179,2,32109.0,0,0
0,0,0,1,24.0,64,0,2630.0,0,1
0,1,1,0,160.0,84,2,30235.0,0,0
0,1,1,0,124.0,42,2,28330.0,0,0
1,0,0,1,124.0,37,1,2630.0,0,1
0,0,0,1,124.0,273,0,2630.0,0,1
1,1,1,0,152.0,73,2,27369.0,0,0
1,0,0,1,154.0,135,0,32815.0,0,1
0,1,1,0,152.0,238,2,31460.0,2,0
0,0,0,1,150.0,60,0,30128.0,2,1
1,0,1,0,152.0,287,2,29545.0,2,0
0,1,0,0,152.0,136,0,26400.0,0,0
1,1,1,0,152.0,242,2,25831.0,2,0
1,0,2,1,124.0,123,0,26140.0,1,1
1,0,1,1,124.0,182,2,31401.0,2,1
1,0,1,1,152.0,180,2,27856.0,0,0
0,0,1,0,152.0,182,2,29582.0,0,0
1,1,0,0,124.0,234,0,30384.0,0,0
1,0,0,1,26.0,172,0,52456.0,0,1
1,0,0,1,124.0,21,0,2630.0,0,1
